year,Base case cost,Modeled non-residential energy efficiency
2017,146059.911374,152850.498253
2018,154265.959104,160558.445321
2019,165440.151758,171054.373245
2020,170678.054565,175974.339459
2021,174169.989769,179254.316935
2022,176614.344412,181550.301168
2023,178534.908775,183354.28878
2024,179931.682857,184666.279771
2025,181677.650459,186306.268509
2026,183772.811581,188274.254994
2027,185518.779184,189914.243732
2028,187090.150026,191390.233596
2029,189010.714388,193194.221208
2030,190232.891709,194342.213325
2031,192328.052832,196310.199811
