year,Base case diesel consumed,Modeled residential ashp
2017,4034.28685919,550.978995784
2018,4034.28685919,550.978995784
2019,4034.28685919,550.978995784
2020,4034.28685919,550.978995784
2021,4034.28685919,550.978995784
2022,4034.28685919,550.978995784
2023,4034.28685919,550.978995784
2024,4034.28685919,550.978995784
2025,4034.28685919,550.978995784
2026,4034.28685919,550.978995784
2027,5286.29111442,1802.98325101
2028,5286.29111442,1802.98325101
2029,5286.29111442,1802.98325101
2030,5286.29111442,1802.98325101
2031,5286.29111442,1802.98325101
