year,Base case cost,Modeled biomass for heat (cordwood)
2017,102389.635546,111108.707645
2018,108680.115546,115760.03416
2019,117245.875546,122093.755373
2020,121261.075546,125062.687192
2021,123937.875546,127041.97507
2022,125811.635546,128427.476586
2023,127283.875546,129516.084919
2024,128354.595546,130307.800071
2025,129692.995546,131297.44401
2026,131299.075546,132485.016738
2027,132637.475546,133474.660677
2028,133842.035546,134365.340223
2029,135314.275546,135453.948556
2030,136251.155546,136146.699314
2031,137857.235546,137334.272041
2032,,
2033,,
2034,,
2035,,
2036,,
