year,Base case diesel consumed,Modeled non-residential ashp
2017,21999.5773867,-25825.5907975
2018,21999.5773867,-25825.5907975
2019,21999.5773867,-25825.5907975
2020,21999.5773867,-25825.5907975
2021,21999.5773867,-25825.5907975
2022,21999.5773867,-25825.5907975
2023,21999.5773867,-25825.5907975
2024,21999.5773867,-25825.5907975
2025,21999.5773867,-25825.5907975
2026,21999.5773867,-25825.5907975
2027,21999.5773867,-25825.5907975
2028,21999.5773867,-25825.5907975
2029,21999.5773867,-25825.5907975
2030,21999.5773867,-25825.5907975
2031,21999.5773867,-25825.5907975
