year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,154557.13,16626.11,159417.23,65249.56
2018,157384.45,17297.86,159417.23,69529.22
2019,160627.12,17982.28,159417.23,73808.87
2020,163834.3,18677.8,159417.23,78088.53
2021,167004.93,19385.12,159417.23,82979.56
2022,170316.08,20108.39,159417.23,87259.22
2023,173676.13,20849.8,159417.23,92150.25
2024,177113.22,21606.21,159417.23,96429.91
2025,180639.14,22374.66,159417.23,101320.94
2026,184236.64,23152.53,159417.23,106211.97
2027,187756.8,23939.94,159417.23,111103.01
2028,191435.06,24738.87,159417.23,116605.42
2029,195190.19,25559.52,159417.23,121496.46
2030,198945.69,26391.16,159417.23,126998.87
2031,202857.88,27235.17,159417.23,131889.91
