year,Base case cost,Modeled transmission and interties
2021,1354389.80434,
2022,1415689.66246,
2023,1459765.65939,
2024,1505005.87478,
2025,1556297.20958,
2026,1613879.07967,
2027,1661934.38785,
2028,1711748.54222,
2029,1773142.28893,
2030,1814669.21073,
2031,1878973.50361,
2032,1943808.26701,
2033,2016332.50564,
2034,2084589.50802,
2035,2143312.12443,
2036,2214869.31062,
2037,2277234.80419,
2038,2358730.09726,
2039,2423718.21202,
2040,2514461.53086,
