year,annotation,diesel generation efficiency
2002,,13.54
2003,,13.16
2004,,13.16
2005,,12.82
2006,,12.58
2007,,12.77
2008,,12.7
2009,,12.88
2010,,13.17
2011,,13.27
2012,,12.73
2013,,12.34
2016,start of forecast,12.78
2017,,12.78
2018,,12.78
2019,,12.78
2020,,12.78
2021,,12.78
2022,,12.78
2023,,12.78
2024,,12.78
2025,,12.78
2026,,12.78
2027,,12.78
2028,,12.78
2029,,12.78
2030,,12.78
2031,,12.78
2032,,12.78
2033,,12.78
2034,,12.78
2035,,12.78
2036,,12.78
2037,,12.78
2038,,12.78
2039,,12.78
2040,,12.78
