year,Base case cost,Modeled residential energy efficiency
2017,111679.288866,109208.345838
2018,116944.550593,114174.346945
2019,124114.268688,120936.561219
2020,127475.074046,124106.34916
2021,129715.610951,126219.541121
2022,131283.986784,127698.775493
2023,132516.282082,128861.031071
2024,133412.496844,129706.307856
2025,134532.765296,130762.903836
2026,135877.087439,132030.819012
2027,156777.234914,152867.294015
2028,157940.66301,153973.416886
2029,159362.630683,155325.344839
2030,160267.519202,156185.662628
2031,161818.756663,157660.493123
2032,163369.994125,159135.323618
2033,164921.231587,160610.154113
2034,166601.738837,162207.887149
2035,167635.897144,163191.107479
2036,169316.404394,164788.840515
