year,Base case diesel consumed,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,724999.438997,532327.368322,532327.368322,532327.368322
2020,724928.584576,532256.513901,532256.513901,532256.513901
2021,724857.730156,532185.659481,532185.659481,532185.659481
2022,724716.021314,532043.950639,532043.950639,532043.950639
2023,724645.166893,531973.096218,531973.096218,531973.096218
2024,724574.312472,531902.241797,531902.241797,531902.241797
2025,724503.458051,531831.387376,531831.387376,531831.387376
2026,724432.603631,531760.532956,531760.532956,531760.532956
2027,724361.74921,531689.678535,531689.678535,531689.678535
2028,724290.894789,531618.824114,531618.824114,531618.824114
2029,724290.894789,531618.824114,531618.824114,531618.824114
2030,724290.894789,531618.824114,531618.824114,531618.824114
2031,724220.040368,531547.969693,531547.969693,531547.969693
2032,724149.185947,531477.115272,531477.115272,531477.115272
2033,724007.477106,531335.406431,531335.406431,531335.406431
2034,723936.622685,531264.55201,531264.55201,531264.55201
2035,723865.768264,531193.697589,531193.697589,531193.697589
2036,723794.913843,531122.843168,531122.843168,531122.843168
2037,723724.059422,531051.988747,531051.988747,531051.988747
2038,723724.059422,531051.988747,531051.988747,531051.988747
