year,Base case cost,Modeled solar power (pv)
2016,1160452.57069,1252218.47437
2017,1421276.64976,1509642.48121
2018,1616906.75432,1702806.75303
2019,1899498.53017,1981811.29226
2020,2029800.03681,2110602.09039
2021,2123833.14936,2203626.95601
2022,2195889.54458,2274976.71946
2023,2246400.01737,2325075.14521
2024,2282409.08429,2360866.79172
2025,2332901.13493,2410962.29345
2026,2390627.59198,2468208.98613
2027,2441099.09484,2518301.24624
2028,2477074.86018,2554086.08354
2029,2535018.13176,2611575.4288
2030,2571232.6765,2647611.38329
2031,2628918.74654,2704859.98157
2032,2693834.97172,2769260.6151
2033,2751228.413,2826235.42198
2034,2816113.46224,2890624.86692
2035,2859269.78464,2933551.24571
