year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,106385.77,2826884.37,1605838.21,248897.05,1611675.23,1093341.55
2018,116649.55,2994302.24,1726067.4,266535.07,1675969.44,1161976.62
2019,130040.17,3226111.61,1885897.71,288981.94,1764992.19,1252972.59
2020,139034.64,3335577.14,1987381.39,304491.18,1807030.71,1309790.95
2021,146745.34,3406407.78,2078132.58,317978.57,1834232.11,1359930.86
2022,154183.59,3464360.12,2169996.42,331039.45,1856487.8,1410303.52
2023,161023.69,3502995.02,2247654.43,343191.19,1871324.92,1452613.47
2024,167778.19,3535190.76,2328741.46,355225.45,1883689.19,1496579.44
2025,175026.37,3573825.65,2408449.26,368019.22,1898526.32,1539857.37
2026,182773.16,3618899.7,2498789.78,381565.38,1915836.3,1588851.89
2027,190384.23,3657534.59,2586727.06,394902.62,1930673.42,1636382.14
2028,197852.9,3689730.34,2678023.87,408032.52,1943037.69,1685535.59
2029,206299.42,3734804.38,2772151.29,422665.65,1960347.67,1736318.42
2030,213895.22,3760560.98,2861652.87,436037.53,1970239.09,1784294.71
2031,222797.19,3805635.02,2964435.36,451371.83,1987549.07,1839530.84
2032,,,3072930.28,,,1897793.94
2033,,,3178735.35,,,1954457.43
2034,,,3290461.31,,,2014246.33
2035,,,3396606.01,,,2070777.53
2036,,,3517942.45,,,2135470.91
