year,annotation,Average Load
2003,,493.0
2004,,511.0
2005,,492.0
2006,,496.0
2007,,515.0
2008,,525.0
2009,,538.0
2010,,546.0
2011,,570.0
2012,,595.0
2013,,659.0
2014,start of forecast,619.0
2015,,624.0
2016,,629.0
2017,,634.0
2018,,639.0
2019,,644.0
2020,,650.0
2021,,655.0
2022,,661.0
2023,,666.0
2024,,672.0
2025,,678.0
2026,,684.0
2027,,690.0
2028,,696.0
2029,,702.0
2030,,709.0
2031,,715.0
2032,,722.0
2033,,728.0
2034,,735.0
2035,,742.0
2036,,749.0
2037,,756.0
2038,,764.0
2039,,771.0
2040,,779.0
