year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6129.75373508,3984.3399278
2018,6128.87405756,3983.76813742
2019,6128.15810273,3983.30276678
2020,6127.39606962,3982.80744526
2021,6126.49761651,3982.22345073
2022,6125.34694051,3981.47551133
2023,6123.91700582,3980.54605379
2024,6122.66265702,3979.73072707
2025,6121.57802256,3979.02571466
2026,6120.73888539,3978.4802755
2027,6119.7639554,3977.84657101
2028,6118.68920915,3977.14798595
2029,6118.76100213,3977.19465138
2030,6118.52771498,3977.04301473
2031,6117.98561125,3976.69064731
