year,Base case diesel consumed,Modeled diesel efficiency
2019,67870.8657241,61700.7870219
2020,67796.364225,61633.0583863
2021,67721.8627258,61565.3297508
2022,67647.3612267,61497.6011152
2023,67572.8597275,61429.8724796
2024,67423.8567292,61294.4152084
2025,67349.3552301,61226.6865728
2026,67274.8537309,61158.9579372
2027,67200.3522318,61091.2293016
2028,67125.8507326,61023.500666
2029,67125.8507326,61023.500666
2030,67125.8507326,61023.500666
2031,67125.8507326,61023.500666
2032,66976.8477343,60888.0433949
2033,66902.3462352,60820.3147593
2034,66753.3432369,60684.8574881
2035,66678.8417377,60617.1288525
2036,66604.3402386,60549.4002169
2037,66604.3402386,60549.4002169
2038,66529.8387395,60481.6715813
