year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,200677.238106,,,,,334381.096415,,,,,
2021,209937.77445,536035.438718,1248904.22316,557581.947842,1019751.88631,340314.355523,1982732.57751,431523.512515,491488.367524,1070581.35599,261203.520816
2022,216471.555925,531540.396605,1227741.73146,553053.651185,1008228.938,343673.949437,1953208.31026,433268.513986,482261.333305,1048469.85374,266093.893868
2023,220963.251309,525972.535291,1206288.81339,547400.812222,995578.520193,345200.194756,1922845.31399,433186.704395,473102.833719,1026979.19174,269091.069081
2024,224521.442908,520176.743561,1185239.20498,541487.331992,982481.403164,345885.686297,1892427.71337,432296.412725,463857.059711,1005765.9538,271223.129008
2025,228987.807782,514953.506131,1164813.85214,536190.149251,970456.327235,347484.761789,1863549.47853,432371.06562,455101.418962,985220.094859,274251.266988
2026,234789.239521,510984.633967,1145829.51767,532171.801001,960026.099471,350451.458852,1836695.43162,433857.142277,446628.250617,965037.165099,278561.816631
2027,239233.253945,506091.862041,1126385.93388,527215.605022,948699.014214,352149.08377,1809307.74621,434103.744262,438258.612545,945394.147059,281621.289606
2028,242995.579652,500946.833522,1107147.20216,521993.082654,937247.119013,353280.577225,1782120.93105,433806.29515,430033.908761,926235.946707,284064.884748
2029,248365.647711,497057.385377,1089185.21346,518069.390524,927428.398161,355990.942854,1757025.8144,435142.304405,422350.16419,907681.204236,288061.701681
2030,251721.940247,492353.311999,1071279.73108,513259.329555,916345.99995,356857.611978,1730918.26282,434641.72256,414729.331834,889698.731796,290189.170237
2031,257763.266813,489196.805253,1054500.18079,510097.294069,907749.02402,360320.581888,1707794.08056,436803.759889,407458.644774,871936.595217,294866.164202
2032,263219.011596,485609.540605,1037575.67981,506509.117654,898882.568817,363251.023704,1684748.21231,438465.478611,399781.570821,853994.872427,298981.134811
2033,268947.431865,482446.146673,1021354.1582,503349.32072,890597.483022,366505.951262,1662623.35543,440483.137658,392552.167402,836722.305261,303391.787187
2034,275023.774136,479778.326318,1005900.77718,500689.500452,882961.778107,370159.396767,1641479.561,442930.032017,385211.983501,819464.738301,308132.920523
2035,278717.558464,475649.743184,989681.392693,496515.778654,873551.888995,371565.530546,1618800.406,443139.61054,378174.514142,803083.163732,310673.068852
2036,285066.576221,473280.399365,974909.746806,494182.08014,866666.08635,375560.701636,1599075.09904,445994.189436,371436.870752,786845.635865,315730.244431
2037,288396.793233,469325.773085,959520.967377,490171.468791,857565.539106,376727.253345,1577302.14329,446015.420848,364987.56402,771550.450789,317989.083911
2038,294727.185616,467209.603448,945504.241731,488099.049743,851216.041768,380796.936948,1558723.70677,449001.057308,358545.8791,756007.039122,323068.991882
2039,299713.570954,464658.171937,931722.923023,485537.840907,844104.267075,383653.387865,1539592.50127,450780.742057,352171.163276,740903.730889,326904.663799
2040,307023.65805,463521.703878,919021.541091,484471.999452,839159.027481,388762.977355,1523028.96415,454866.877146,346379.587549,726299.627911,332963.800215
2041,306679.461124,457966.434405,903846.553565,478761.331573,828175.431183,386633.095807,1500339.31798,451652.886529,340004.037034,712290.404856,331826.67218
2042,306335.264198,452533.299444,889019.162694,473176.440358,817441.195807,384545.066243,1478173.39327,448506.156702,333769.846369,698601.45585,330708.128467
2043,306335.264198,447563.633348,874875.418474,468058.574793,807294.673788,382842.104665,1456863.11203,445769.30814,328017.899304,685569.471275,329951.930427
2044,305991.067272,442366.246909,860718.971429,462716.462311,797041.764022,380834.859336,1435708.09373,442752.407558,322056.566611,672498.727001,328869.258857
2045,305991.067272,437626.804032,847230.445941,457835.685407,787365.286652,379210.788631,1415385.026,440142.345398,316571.082471,660070.458123,328148.092213
2046,305991.067272,432998.441844,834058.057761,453069.30171,777915.601715,377624.782083,1395538.28017,437593.456569,311214.164363,647933.47679,327443.827913
2047,305646.870346,428134.359986,820850.200551,448070.433221,768343.196877,375731.750643,1375812.49559,434760.110404,305638.602116,635736.759075,326411.872883
2048,305646.870346,423720.409819,808288.032197,443524.855485,759331.275011,374219.216925,1356885.16373,432329.300581,300529.846876,624162.031643,325740.234104
2049,305646.870346,419409.911624,796020.289706,439085.814742,750530.570093,372742.133221,1338401.44127,429955.46287,295540.828104,612858.586923,325084.336862
2050,305302.67342,414856.243808,783695.875514,434406.617093,741591.934779,370955.471741,1320006.73415,427293.065057,290324.542538,601475.869773,324099.615285
2051,305302.67342,410745.432397,771996.444605,430173.217956,733198.928551,369546.814952,1302379.28281,425029.197006,285566.643481,590696.064881,323474.102932
2052,305302.67342,406730.968113,760571.219062,426039.039095,725002.633373,368171.173552,1285164.9748,422818.388353,280920.257665,580168.911622,322863.251022
2053,305302.67342,402810.592867,749413.772333,422001.755083,716998.438929,366827.773757,1268354.12726,420659.395546,276382.771554,569888.488603,322266.715959
2054,305302.67342,398982.10139,738517.828189,418059.094889,709181.84274,365515.859887,1251937.28385,418551.004119,271951.632743,559849.01293,321684.162182
2055,305302.67342,395243.340185,727877.257742,414208.840795,701548.448028,364234.693998,1235905.21022,416492.028117,267624.348751,550044.837475,321115.26201
2056,305302.67342,391592.206197,717486.075671,410448.827034,694093.961009,362983.555436,1220248.88832,414481.309366,263398.485479,540470.447386,320559.695436
2057,305302.67342,388026.645651,707338.436898,406776.938584,686814.188507,361761.74043,1204959.51142,412517.71683,259271.665865,531120.457036,320017.149951
2058,305302.67342,384544.652962,697428.6335,403191.110053,679705.035739,360568.561724,1190028.47943,410600.146012,255241.568624,521989.60717,319487.320382
2059,305302.67342,381144.269452,687751.091047,399689.324351,672762.503686,359403.348135,1175447.39339,408727.518245,251305.926756,513072.761531,318969.908689
2060,305302.67342,377823.582418,678300.365962,396269.61174,665982.687205,358265.444236,1161208.05151,406898.780186,247462.526482,504364.904431,318464.623831
2061,305302.67342,374580.724015,669071.142324,392930.048672,659361.772729,357154.209969,1147302.44432,405112.903189,243709.205933,495861.137803,317971.181591
2062,305302.67342,371413.870078,660058.22854,389668.756586,652896.035881,356069.020246,1133722.74969,403368.882671,240043.853804,487556.678136,317489.304399
2063,305302.67342,368321.23929,651256.554948,386483.901041,646581.839759,355009.26466,1120461.32918,401665.737638,236464.408376,479446.854266,317018.721206
2064,305302.67342,365301.092044,642661.170604,383373.690558,640415.632626,353974.347099,1107510.72325,400002.510071,232968.85621,471527.104414,316559.167307
2065,305302.67342,362351.729525,634267.240656,380336.37566,634393.946026,352963.685427,1094863.64727,398378.264415,229555.231078,463792.973769,316110.384207
2066,305302.67342,359471.492623,626070.043248,377370.24776,628513.392567,351976.711114,1082512.98683,396792.086979,226221.612706,456240.111633,315672.11945
2067,305302.67342,356658.761326,618064.967805,374473.638537,622770.664688,351012.86903,1070451.79523,395243.085606,222966.126076,448864.269842,315244.126532
2068,305302.67342,353911.953396,610247.511253,371644.918569,617162.531947,350071.616988,1058673.28771,393730.388941,219786.939888,441661.299284,314826.164694
2069,305302.67342,351229.523804,602613.276418,368882.496754,611685.839874,349152.425549,1047170.83908,392253.146118,216682.265909,434627.148421,314417.998841
2070,305302.67342,348609.963647,595157.968935,366184.819191,606337.507753,,1035937.97904,390810.526169,213650.357715,427757.860444,314019.399374
