year,Base case diesel consumed,Modeled solar power
2020,67796.364225,66772.52884
2021,67721.8627258,66706.2180239
2022,67647.3612267,66639.8416824
2023,67572.8597275,66573.4003396
2024,67423.8567292,66432.3930164
2025,67349.3552301,66365.823227
2026,67274.8537309,66299.1899838
2027,67200.3522318,66232.4937947
2028,67125.8507326,66165.735163
2029,67125.8507326,66173.4160876
2030,67125.8507326,66181.0355647
2031,67125.8507326,66188.5940861
2032,66976.8477343,66047.089141
2033,66902.3462352,65980.0257106
2034,66753.3432369,65838.4012765
2035,66678.8417377,65771.219313
2036,66604.3402386,65703.9787932
2037,66604.3402386,65711.1816848
2038,66529.8387395,65643.8254541
2039,66455.3372403,65576.4120612
