year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,71074.0972402,52594.8319578
2018,71074.0972402,52594.8319578
2019,71074.0972402,52594.8319578
2020,71074.0972402,52594.8319578
2021,71074.0972402,52594.8319578
2022,71074.0972402,52594.8319578
2023,71074.0972402,52594.8319578
2024,71074.0972402,52594.8319578
2025,71074.0972402,52594.8319578
2026,71074.0972402,52594.8319578
2027,71074.0972402,52594.8319578
2028,71074.0972402,52594.8319578
2029,71074.0972402,52594.8319578
2030,71074.0972402,52594.8319578
2031,71074.0972402,52594.8319578
