year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.35
2004,,1.52,2.3
2005,,2.18,2.83
2006,,2.59,3.62
2008,,3.2,3.78
2009,,2.75,2.92
2010,,2.74,3.04
2011,,3.09,3.65
2012,,3.8,3.65
2013,,3.88,4.7
2014,,,4.6
2016,,1.69,2.97
2017,,2.07,3.35
2018,,2.36,3.64
2019,,2.77,4.05
2020,,2.96,4.24
2021,,3.1,4.38
2022,,3.2,4.48
2023,,3.27,4.55
2024,,3.33,4.61
2025,,3.4,4.68
2026,,3.49,4.77
2027,,3.56,4.84
2028,,3.62,4.9
2029,,3.7,4.98
2030,,3.75,5.03
2031,,3.84,5.12
2032,,3.93,5.21
2033,,4.02,5.3
2034,,4.12,5.4
2035,,4.18,5.46
2036,,4.28,5.56
2037,,4.33,5.61
2038,,4.43,5.71
2039,,4.51,5.79
2040,,4.62,5.9
