year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,67945.37,6129.75,71074.1,33754.01
2018,67945.37,6128.87,71074.1,33754.01
2019,67870.87,6128.16,71074.1,33754.01
2020,67796.36,6127.4,71074.1,32679.92
2021,67721.86,6126.5,71074.1,32679.92
2022,67647.36,6125.35,71074.1,32679.92
2023,67572.86,6123.92,71074.1,31605.83
2024,67423.86,6122.66,71074.1,31605.83
2025,67349.36,6121.58,71074.1,30531.73
2026,67274.85,6120.74,71074.1,30531.73
2027,67200.35,6119.76,71074.1,30531.73
2028,67125.85,6118.69,71074.1,30531.73
2029,67125.85,6118.76,71074.1,30531.73
2030,67125.85,6118.53,71074.1,29457.64
2031,67125.85,6117.99,71074.1,29457.64
2032,66976.85,6116.66,71074.1,29457.64
2033,66902.35,6115.16,71074.1,28383.54
2034,66753.34,6113.74,71074.1,28383.54
2035,66678.84,6112.62,71074.1,27309.45
2036,66604.34,6111.88,71074.1,27309.45
2037,66604.34,6111.16,71074.1,27309.45
2038,66529.84,6110.7,71074.1,27309.45
2039,66455.34,6109.97,71074.1,27309.45
2040,66455.34,6109.07,71074.1,26235.35
