year,Base case cost,Modeled diesel efficiency
2019,188002.298056,353959.817925
2020,200677.238106,361192.288242
2021,209937.77445,365421.306818
2022,216471.555925,367269.652278
2023,220963.251309,367357.449326
2024,224521.442908,366690.252545
2025,228987.807782,366940.119022
2026,234789.239521,368492.990435
2027,239233.253945,368899.060708
2028,242995.579652,368770.584527
2029,248365.647711,370186.866626
2030,251721.940247,369853.668686
2031,257763.266813,372040.731995
2032,263219.011596,373772.910375
2033,268947.431865,375828.622205
2034,275023.774136,378274.500432
2035,278717.558464,378626.559125
2036,285066.576221,381462.917804
2037,288396.793233,381623.712392
2038,294727.185616,384579.126829
