year,Base case cost,Chignik lake area wind-hydro final design,Modeled wind power
2019,188002.298056,,316219.51889
2020,200677.238106,,321426.309797
2021,209937.77445,,324300.06557
2022,216471.555925,,325327.420277
2023,220963.251309,,324992.07539
2024,224521.442908,,324002.703029
2025,228987.807782,,323801.115388
2026,234789.239521,,324613.374596
2027,239233.253945,,324541.15439
2028,242995.579652,,324059.43731
2029,248365.647711,,324858.970963
2030,251721.940247,,324311.508265
2031,257763.266813,,325721.297818
2032,263219.011596,,326612.08294
2033,268947.431865,,327840.560508
2034,275023.774136,,329281.463951
2035,278717.558464,,329197.771405
2036,285066.576221,,331033.907065
2037,288396.793233,,330905.320777
2038,294727.185616,,332839.710284
