year,Base case cost,Modeled water and wastewater efficiency
2017,49661.3760095,39876.5951025
2018,53182.13067,42230.0013983
2019,58164.6790572,45608.7733287
2020,60466.87711,47114.6756745
2021,62157.7036396,48195.2235535
2022,63357.2941604,48934.3797415
2023,64187.0395433,49417.0133648
2024,64897.3593365,49818.4233728
2025,65731.4856944,50308.7330063
2026,66812.1768407,50973.8015703
2027,67647.214626,51469.0777606
2028,68358.7538035,51879.9885262
2029,69331.8184581,52476.279155
2030,69935.3573755,52815.915147
2031,71019.4929325,53493.6203163
