year,Base case cost,Modeled solar power
2020,200677.238106,207368.241606
2021,209937.77445,216305.880742
2022,216471.555925,222564.000979
2023,220963.251309,226816.16936
2024,224521.442908,230150.290082
2025,228987.807782,234388.010956
2026,234789.239521,239946.58891
2027,239233.253945,244172.607065
2028,242995.579652,247731.611756
2029,248365.647711,252884.120305
2030,251721.940247,256056.206786
2031,257763.266813,261880.285247
2032,263219.011596,267123.730519
2033,268947.431865,272644.695454
2034,275023.774136,278509.174995
2035,278717.558464,282032.18998
2036,285066.576221,288178.532032
2037,288396.793233,291355.32519
2038,294727.185616,297491.777152
2039,299713.570954,302306.2088
