year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,67796.364225,,,,,67796.364225,,,,,
2021,67721.8627258,43638.5293925,43638.5293925,43638.5293925,67721.8627258,67721.8627258,67721.8627258,67721.8627258,0.0,0.0,63291.3017697
2022,67647.3612267,43564.0278933,43564.0278933,43564.0278933,67647.3612267,67647.3612267,67647.3612267,67647.3612267,-74.5014991483,-74.5014991483,63216.8002705
2023,67572.8597275,43489.5263942,43489.5263942,43489.5263942,67572.8597275,67572.8597275,67572.8597275,67572.8597275,-149.002998297,-149.002998297,63142.2987714
2024,67423.8567292,43340.5233959,43340.5233959,43340.5233959,67423.8567292,67423.8567292,67423.8567292,67423.8567292,-298.005996593,-298.005996593,62993.2957731
2025,67349.3552301,43266.0218968,43266.0218968,43266.0218968,67349.3552301,67349.3552301,67349.3552301,67349.3552301,-372.507495742,-372.507495742,62918.7942739
2026,67274.8537309,43191.5203976,43191.5203976,43191.5203976,67274.8537309,67274.8537309,67274.8537309,67274.8537309,-447.00899489,-447.00899489,62844.2927748
2027,67200.3522318,43117.0188985,43117.0188985,43117.0188985,67200.3522318,67200.3522318,67200.3522318,67200.3522318,-521.510494038,-521.510494038,62769.7912756
2028,67125.8507326,43042.5173993,43042.5173993,43042.5173993,67125.8507326,67125.8507326,67125.8507326,67125.8507326,-596.011993187,-596.011993187,62695.2897765
2029,67125.8507326,43042.5173993,43042.5173993,43042.5173993,67125.8507326,67125.8507326,67125.8507326,67125.8507326,-596.011993187,-596.011993187,62695.2897765
2030,67125.8507326,43042.5173993,43042.5173993,43042.5173993,67125.8507326,67125.8507326,67125.8507326,67125.8507326,-596.011993187,-596.011993187,62695.2897765
2031,67125.8507326,43042.5173993,43042.5173993,43042.5173993,67125.8507326,67125.8507326,67125.8507326,67125.8507326,-596.011993187,-596.011993187,62695.2897765
2032,66976.8477343,42893.514401,42893.514401,42893.514401,66976.8477343,66976.8477343,66976.8477343,66976.8477343,-745.014991483,-745.014991483,62546.2867782
2033,66902.3462352,42819.0129019,42819.0129019,42819.0129019,66902.3462352,66902.3462352,66902.3462352,66902.3462352,-819.516490632,-819.516490632,62471.785279
2034,66753.3432369,42670.0099036,42670.0099036,42670.0099036,66753.3432369,66753.3432369,66753.3432369,66753.3432369,-968.519488928,-968.519488928,62322.7822807
2035,66678.8417377,42595.5084044,42595.5084044,42595.5084044,66678.8417377,66678.8417377,66678.8417377,66678.8417377,-1043.02098808,-1043.02098808,62248.2807816
2036,66604.3402386,42521.0069053,42521.0069053,42521.0069053,66604.3402386,66604.3402386,66604.3402386,66604.3402386,-1117.52248722,-1117.52248722,62173.7792824
2037,66604.3402386,42521.0069053,42521.0069053,42521.0069053,66604.3402386,66604.3402386,66604.3402386,66604.3402386,-1117.52248722,-1117.52248722,62173.7792824
2038,66529.8387395,42446.5054061,42446.5054061,42446.5054061,66529.8387395,66529.8387395,66529.8387395,66529.8387395,-1192.02398637,-1192.02398637,62099.2777833
2039,66455.3372403,42372.003907,42372.003907,42372.003907,66455.3372403,66455.3372403,66455.3372403,66455.3372403,-1266.52548552,-1266.52548552,62024.7762841
2040,66455.3372403,42372.003907,42372.003907,42372.003907,66455.3372403,66455.3372403,66455.3372403,66455.3372403,-1266.52548552,-1266.52548552,62024.7762841
2041,66380.8357412,42297.5024078,42297.5024078,42297.5024078,66380.8357412,66380.8357412,66380.8357412,66380.8357412,-1341.02698467,-1341.02698467,61950.274785
2042,66306.334242,42223.0009087,42223.0009087,42223.0009087,66306.334242,66306.334242,66306.334242,66306.334242,-1415.52848382,-1415.52848382,61875.7732858
2043,66306.334242,42223.0009087,42223.0009087,42223.0009087,66306.334242,66306.334242,66306.334242,66306.334242,-1415.52848382,-1415.52848382,61875.7732858
2044,66231.8327429,42148.4994095,42148.4994095,42148.4994095,66231.8327429,66231.8327429,66231.8327429,66231.8327429,-1490.02998297,-1490.02998297,61801.2717867
2045,66231.8327429,42148.4994095,42148.4994095,42148.4994095,66231.8327429,66231.8327429,66231.8327429,66231.8327429,-1490.02998297,-1490.02998297,61801.2717867
2046,66231.8327429,42148.4994095,42148.4994095,42148.4994095,66231.8327429,66231.8327429,66231.8327429,66231.8327429,-1490.02998297,-1490.02998297,61801.2717867
2047,66157.3312437,42073.9979104,42073.9979104,42073.9979104,66157.3312437,66157.3312437,66157.3312437,66157.3312437,-1564.53148211,-1564.53148211,61726.7702876
2048,66157.3312437,42073.9979104,42073.9979104,42073.9979104,66157.3312437,66157.3312437,66157.3312437,66157.3312437,-1564.53148211,-1564.53148211,61726.7702876
