year,Base case diesel consumed,Modeled non-residential ashp
2017,167127.57254,85081.7920513
2018,167127.57254,85081.7920513
2019,165891.088185,83845.3076968
2020,165891.088185,83845.3076968
2021,165891.088185,83845.3076968
2022,164654.603831,82608.8233423
2023,164654.603831,82608.8233423
2024,164654.603831,82608.8233423
2025,163418.119476,81372.3389877
2026,162181.635122,80135.8546332
2027,162181.635122,80135.8546332
2028,160945.150767,78899.3702787
2029,159708.666413,77662.8859242
2030,158472.182058,76426.4015697
2031,157235.697704,75189.9172152
