year,Base case cost,Modeled water and wastewater efficiency
2017,39358.8872766,73783.281528
2018,42706.0433203,76058.7762154
2019,47248.6670654,79147.0161279
2020,49503.4544156,80679.728665
2021,50905.431142,81632.5051046
2022,52067.5051727,82422.1925292
2023,52865.0941751,82964.0333348
2024,53423.1811175,83343.0505191
2025,54212.6134619,83879.2852895
2026,55107.4292314,84487.0416997
2027,55867.3183402,85002.9292283
2028,56491.9280713,85426.705883
2029,57254.9037939,85944.7619741
2030,57774.3975839,86297.2414691
2031,58617.2764501,86869.2926658
