year,Base case cost,Modeled non-residential energy efficiency
2017,1267553.01106,1471763.22127
2018,1376023.60251,1571941.23501
2019,1523233.69092,1707897.11081
2020,1596838.73513,1775875.04871
2021,1643326.13147,1818808.48317
2022,1682065.62842,1854586.34522
2023,1709183.27628,1879630.84866
2024,1728553.02476,1897519.77968
2025,1755670.67262,1922564.28312
2026,1786662.27018,1951186.57276
2027,1813779.91805,1976231.0762
2028,1837023.61622,1997697.79343
2029,1864141.26408,2022742.29687
2030,1883511.01256,2040631.22789
2031,1914502.61012,2069253.51753
