year,Base case diesel consumed,Modeled non-residential ashp
2017,87428.2283702,61199.7598329
2018,87428.2283702,61199.7598329
2019,87428.2283702,61199.7598329
2020,87428.2283702,61199.7598329
2021,87428.2283702,61199.7598329
2022,87428.2283702,61199.7598329
2023,87428.2283702,61199.7598329
2024,87428.2283702,61199.7598329
2025,87428.2283702,61199.7598329
2026,87428.2283702,61199.7598329
2027,87428.2283702,61199.7598329
2028,87428.2283702,61199.7598329
2029,87428.2283702,61199.7598329
2030,87428.2283702,61199.7598329
2031,87428.2283702,61199.7598329
