year,annotation,Average Load
2003,,493.0
2004,,511.0
2005,,492.0
2006,,496.0
2007,,515.0
2008,,525.0
2009,,538.0
2010,,546.0
2011,,570.0
2012,,595.0
2013,,659.0
2014,start of forecast,619.0
2015,,625.0
2016,,630.0
2017,,636.0
2018,,642.0
2019,,648.0
2020,,655.0
2021,,661.0
2022,,667.0
2023,,674.0
2024,,681.0
2025,,688.0
2026,,695.0
2027,,702.0
2028,,709.0
2029,,716.0
2030,,723.0
2031,,731.0
2032,,738.0
2033,,746.0
2034,,754.0
2035,,762.0
2036,,770.0
2037,,779.0
2038,,787.0
2039,,796.0
2040,,805.0
