year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,118844.85,408063.28,678807.2,151710.18,427015.68,525307.12
2018,128003.37,432285.37,737245.67,161999.26,444097.93,560623.01
2019,139978.8,464892.03,809735.22,174939.11,467093.27,604694.15
2020,147193.58,480729.56,861300.41,183873.42,478262.44,634555.47
2021,153164.14,491908.98,907492.95,191820.03,486146.55,660671.79
2022,158123.28,499361.94,949056.08,198963.19,491402.63,683639.78
2023,162623.65,504951.65,994544.51,205788.54,495344.69,708266.31
2024,166929.3,509609.74,1039151.67,212512.57,498629.74,732232.7
2025,171638.88,515199.46,1079660.81,219674.94,502571.8,754206.26
2026,176747.54,521720.79,1128671.59,227257.59,507170.87,780707.4
2027,181638.87,527310.5,1176755.07,234696.71,511112.92,806527.24
2028,186306.03,531968.6,1223745.62,241986.97,514397.97,831589.63
2029,191769.46,538489.93,1274909.74,250133.37,518997.04,859080.97
2030,196351.17,542216.41,1321249.06,257512.83,521625.08,883589.01
2031,202049.48,548737.74,1373793.53,266030.54,526224.15,911715.1
2032,208210.46,556190.69,1429087.34,275062.05,531480.22,941360.34
2033,214165.57,562712.03,1483233.01,283977.83,536079.29,970222.73
2034,220630.66,570164.98,1547030.6,293488.11,541335.37,1004141.66
2035,226173.79,574823.07,1605377.64,302188.45,544620.42,1034789.54
2036,232990.87,582276.02,1664131.53,312266.94,549876.5,1066025.88
2037,238869.09,586934.12,1723914.13,321518.9,553161.55,1097333.89
2038,245656.57,593455.45,1789029.79,331776.63,557760.61,1131604.05
2039,252210.75,599045.17,1859715.82,341884.13,561702.67,1168544.1
2040,260112.15,607429.74,1931600.1,353458.14,567615.76,1206436.53
