year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,127440.49,6130.38,91040.4,136248.7
2018,128477.19,6148.17,91040.4,140028.01
2019,129439.85,6166.31,91040.4,143807.31
2020,130476.55,6184.77,91040.4,147586.61
2021,131587.3,6203.63,91040.4,152625.68
2022,132624.01,6222.95,91040.4,156404.99
2023,133734.76,6242.82,91040.4,161444.06
2024,134919.57,6263.19,91040.4,166483.13
2025,136030.32,6284.0,91040.4,170262.43
2026,137215.12,6305.15,91040.4,175301.5
2027,138473.98,6326.66,91040.4,180340.57
2028,139658.78,6348.57,91040.4,185379.65
2029,140917.64,6371.17,91040.4,190418.72
2030,142176.49,6394.14,91040.4,195457.79
2031,143509.4,6417.55,91040.4,201756.63
2032,144842.3,,,206795.7
2033,146175.2,,,211834.77
2034,147582.16,,,218133.61
2035,148915.06,,,223172.68
2036,150396.07,,,229471.52
