year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6130.37805367,1488.66013737
2018,6148.17083622,1492.98081806
2019,6166.30830515,1497.3852001
2020,6184.77431369,1501.86936251
2021,6203.6266432,1506.44733652
2022,6222.94696152,1511.13895382
2023,6242.81626928,1515.96388406
2024,6263.19239812,1520.91188734
2025,6283.99528152,1525.96352086
2026,6305.1495235,1531.10047596
2027,6326.65712572,1536.32323869
2028,6348.57093209,1541.64464134
2029,6371.16823965,1547.13202086
2030,6394.14386153,1552.71126771
2031,6417.55424461,1558.39608907
