year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30223.7,448843.03,846206.51,51551.24,506322.93,383601.97
2018,32340.31,478886.36,915888.06,54226.01,530320.11,411503.34
2019,35148.9,518944.14,1003882.75,57747.89,562316.35,446637.94
2020,36552.96,538062.62,1061258.3,59577.84,577587.28,469354.31
2021,37594.92,551718.68,1120386.85,60975.16,588495.09,492600.63
2022,38334.3,560822.72,1163770.26,62011.01,595766.97,509607.72
2023,38956.12,568105.95,1214180.25,62909.79,601584.46,529286.3
2024,39459.06,573568.38,1262066.83,63668.97,605947.59,547934.09
2025,40030.01,579941.21,1302635.15,64515.69,611037.9,563737.13
2026,40732.22,588134.84,1356964.95,65527.22,617582.58,584868.57
2027,41377.3,595418.08,1410398.38,66473.42,623400.08,605613.47
2028,41901.53,600880.5,1460930.47,67276.17,627763.21,625194.3
2029,42624.08,609074.14,1517779.81,68329.21,634307.89,647214.34
2030,43097.5,613626.16,1567717.87,69080.48,637943.83,666515.26
2031,43832.87,621819.79,1636397.37,70159.34,644488.51,693041.74
2032,,,1695879.62,,,715990.38
2033,,,1756268.91,,,739258.91
2034,,,1830304.36,,,767744.77
2035,,,1885976.3,,,789138.34
2036,,,1962153.36,,,818379.51
