year,Base case cost,Modeled wind power,Marshall wind energy final design and permitting project
2019,453039.463059,692559.292032,658060.591821
2020,484068.001112,716851.021267,678285.156447
2021,507926.993429,735898.007286,694427.024888
2022,525191.069993,749954.07965,706546.352201
2023,540288.436081,762485.042379,717527.918889
2024,553170.218526,773442.022304,727322.851782
2025,567246.431591,785272.632429,737797.740372
2026,584536.425744,799675.422803,750457.460199
2027,600977.063467,813549.657167,762782.298521
2028,614498.640119,825146.431299,773217.025622
2029,632720.186486,840480.773887,786808.297664
2030,645481.267014,851637.852315,796997.003566
2031,664448.499454,867717.880975,811333.96168
2032,683655.654721,884037.832464,825910.842622
2033,703102.732817,900597.70678,840727.646392
2034,724628.401584,918915.371348,857108.565908
2035,740107.86699,932470.034235,869501.181764
2036,762508.069275,951662.23232,886756.634797
2037,778749.51181,965978.872336,899911.227782
2038,801675.470909,985696.827235,917692.437629
