year,Base case cost,Modeled solar power (pv)
2016,290899.023648,306324.098533
2017,347912.536854,362445.044673
2018,393140.211397,407011.210395
2019,453039.463059,466023.808678
2020,484068.001112,496670.161275
2021,507926.993429,520280.359772
2022,525191.069993,537404.953245
2023,540288.436081,552407.20746
2024,553170.218526,565237.215604
2025,567246.431591,579242.600377
2026,584536.425744,596422.889659
2027,600977.063467,612776.293423
2028,614498.640119,626252.564474
2029,632720.186486,644370.692547
2030,645481.267014,657109.219574
2031,664448.499454,675976.882903
2032,683655.654721,695086.669291
2033,703102.732817,714438.549907
2034,724628.401584,735852.132707
2035,740107.86699,751297.44785
