year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,96336.05,919.89,53156.45,14566.37
2018,96259.52,916.98,53156.45,13493.64
2019,96259.52,915.87,53156.45,13493.64
2020,96259.52,914.23,53156.45,13493.64
2021,96259.52,912.52,53156.45,13493.64
2022,96182.98,911.38,53156.45,13493.64
2023,96182.98,910.16,53156.45,13493.64
2024,96182.98,909.52,53156.45,13493.64
2025,96182.98,909.12,53156.45,13493.64
2026,96182.98,909.18,53156.45,13493.64
2027,96182.98,909.12,53156.45,13493.64
2028,96182.98,909.04,53156.45,13493.64
2029,96259.52,912.78,53156.45,13493.64
2030,96259.52,915.79,53156.45,13493.64
2031,96259.52,917.69,53156.45,13493.64
2032,96259.52,,,13493.64
2033,96259.52,,,13493.64
2034,96259.52,,,13493.64
2035,96259.52,,,13493.64
2036,96259.52,,,13493.64
