year,annotation,Average Load
2003,,305.0
2004,,322.0
2005,,307.0
2006,,295.0
2007,,288.0
2008,,297.0
2009,,287.0
2010,,282.0
2011,,273.0
2012,,306.0
2013,,272.0
2014,start of forecast,284.0
2015,,284.0
2016,,284.0
2017,,284.0
2018,,284.0
2019,,284.0
2020,,284.0
2021,,284.0
2022,,284.0
2023,,284.0
2024,,284.0
2025,,284.0
2026,,285.0
2027,,285.0
2028,,285.0
2029,,285.0
2030,,285.0
2031,,285.0
2032,,285.0
2033,,286.0
2034,,286.0
2035,,286.0
2036,,286.0
2037,,286.0
2038,,286.0
2039,,287.0
2040,,287.0
