year,Base case cost,Cold bay wind energy project,Modeled wind power
2019,873812.17373,1057496.40113,1102158.62394
2020,935169.445008,1113218.55883,1145348.1799
2021,977828.505216,1151991.33381,1175477.78127
2022,1012048.29963,1183102.10005,1199674.00861
2023,1033583.90137,1202694.55918,1214944.88093
2024,1053015.63819,1220377.46765,1228738.36127
2025,1076699.7413,1241924.11389,1245531.26202
2026,1104640.67436,1267338.96155,1265328.04683
2027,1126238.02319,1286993.16777,1280660.66624
2028,1146130.25944,1305136.57567,1294914.64601
2029,1172010.47615,1328685.02124,1313277.18742
2030,1189412.74214,1344532.77314,1325667.66987
2031,1217876.66566,1370470.61127,1345987.44514
2032,1248069.50788,1397943.05383,1367409.66617
2033,1276602.61791,1423950.07846,1387798.62796
2034,1309432.73069,1453865.47732,1411231.6466
2035,1329523.59916,1472207.51744,1425684.2586
2036,1360301.92288,1500265.44151,1447691.96113
2037,1380453.79451,1518668.48479,1462205.57628
2038,1413443.11064,1548743.087,1485797.79829
