year,Base case cost,Modeled water and wastewater efficiency
2017,54680.6571136,44944.1581567
2018,59270.6296243,48130.3402011
2019,65783.1811749,52651.1455222
2020,68869.5283585,54793.4769291
2021,70989.3282949,56264.8008103
2022,72680.2758556,57438.4148505
2023,73727.608453,58165.2172307
2024,74667.3020783,58817.2945499
2025,75818.3153301,59616.0483686
2026,77179.1270587,60560.4086568
2027,78215.3878046,61279.4301987
2028,79140.6345131,61921.3482005
2029,80389.8250008,62788.1962122
2030,81207.815922,63355.6680539
2031,82552.8815347,64288.9778942
