year,Base case cost,Modeled residential energy efficiency
2017,513661.090475,480849.329212
2018,555566.852042,516883.612474
2019,600027.51069,553689.757092
2020,626088.725994,575585.503993
2021,647950.551938,594133.846285
2022,666353.60098,609909.963361
2023,683071.055136,624356.845496
2024,698015.327275,637386.277158
2025,714108.951814,651425.856688
2026,732413.694019,667371.97593
2027,749919.432346,682708.250509
2028,775988.131497,706960.847732
2029,784482.253644,713167.800963
2030,809985.514597,737065.699914
2031,829458.085205,754295.990073
2032,849164.221493,771781.504218
2033,869103.923462,789521.734721
2034,890426.54351,808500.76413
2035,907356.123933,823766.021315
2036,940460.074468,854566.250184
