year,Base case cost,Modeled water and wastewater efficiency
2017,44998.5047046,31481.659188
2018,47192.7436673,32810.6457719
2019,50149.1053954,34611.9748722
2020,51569.4013674,35461.9846296
2021,52624.451321,36086.2052112
2022,53371.7792441,36520.5375939
2023,53992.7145312,36876.9173621
2024,54456.7658022,37136.8430555
2025,54995.1566427,37443.3059076
2026,55719.236353,37864.6809067
2027,56351.2518804,38229.7927472
2028,56875.3580588,38528.1021285
2029,57567.3289939,38931.3920397
2030,57983.8791584,39164.572136
2031,58702.6111083,39584.912131
