year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1984.73951879,182.563398697
2018,1993.72044697,183.389496407
2019,1999.54835557,183.925568164
2020,2004.96378813,184.423698909
2021,2010.21935455,184.907124596
2022,2014.6100691,185.310998134
2023,2019.95998056,185.803102015
2024,2024.75076083,186.243775019
2025,2029.49016507,186.679722275
2026,2035.99583676,187.278137092
2027,2041.49667362,187.784123627
2028,2048.89268502,188.464435056
2029,2053.47542577,188.885971847
2030,2059.10410218,189.403717518
2031,2064.77387939,189.925243788
