year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,100619.2,1984.74,61800.1,50650.55
2018,100692.59,1993.72,61800.1,52689.43
2019,100692.59,1999.55,61800.1,53708.86
2020,100692.59,2004.96,61800.1,54728.3
2021,100692.59,2010.22,61800.1,55747.74
2022,100692.59,2014.61,61800.1,56767.18
2023,100765.98,2019.96,61800.1,57786.62
2024,100765.98,2024.75,61800.1,58806.06
2025,100765.98,2029.49,61800.1,59825.5
2026,100765.98,2036.0,61800.1,60844.94
2027,100765.98,2041.5,61800.1,61864.38
2028,100839.37,2048.89,61800.1,63903.25
2029,100839.37,2053.48,61800.1,63903.25
2030,100839.37,2059.1,61800.1,65942.13
2031,100839.37,2064.77,61800.1,66961.57
2032,100839.37,,,67981.01
2033,100912.76,,,69000.45
2034,100912.76,,,70019.89
2035,100912.76,,,71039.33
2036,100912.76,,,73078.2
