year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,9090.41,283053.86,265828.02,35908.1,202701.21,247833.07
2018,9689.78,300357.89,291281.66,37502.96,211071.25,264285.2
2019,10497.93,324459.93,317863.85,39651.17,222729.53,282163.66
2020,10887.26,335583.94,333748.27,40682.14,228110.27,292340.46
2021,11177.13,343617.96,347212.29,41447.33,231996.37,300738.26
2022,11382.85,349179.97,358670.68,41988.93,234686.74,307682.92
2023,11554.48,353505.97,369156.84,42438.24,236779.25,313914.21
2024,11683.12,356595.98,378609.6,42773.65,238273.9,319405.72
2025,11832.24,360303.98,388762.56,43162.92,240067.48,325346.39
2026,12033.05,365247.99,400254.75,43686.19,242458.92,332158.94
2027,12208.46,369574.0,411291.41,44142.79,244551.44,338628.03
2028,12355.13,372664.0,428041.59,44520.22,246046.09,347946.54
2029,12547.05,377608.01,433153.85,45020.28,248437.53,351328.4
2030,12663.8,380080.02,449611.61,45320.08,249633.25,360373.9
2031,12863.86,385024.02,461919.35,45838.76,252024.69,367538.73
2032,,,474390.2,,,374774.02
2033,,,487024.16,,,382079.76
2034,,,500521.44,,,389905.11
2035,,,511360.63,,,395995.49
2036,,,532614.07,,,407846.0
