year,Base case diesel consumed,Modeled wind power
2019,107260.964127,76194.4094245
2020,107625.301641,76558.7469385
2021,107916.771653,76850.2169497
2022,108135.374161,77068.8194581
2023,108499.711675,77433.1569722
2024,108718.314184,77651.7594806
2025,109009.784195,77943.2294918
2026,109374.121709,78307.5670058
2027,109665.59172,78599.037017
2028,110029.929234,78963.374531
2029,110321.399245,79254.8445423
2030,110612.869256,79546.3145535
2031,110904.339268,79837.7845647
2032,111268.676782,80202.1220787
2033,111560.146793,80493.5920899
2034,111851.616804,80785.0621011
2035,112143.086815,81076.5321124
2036,112580.291832,81513.7371292
2037,112944.629346,81878.0746432
2038,113236.099357,82169.5446544
