year,annotation,diesel generation efficiency
2002,,13.52
2003,,13.37
2004,,13.64
2005,,14.29
2006,,13.95
2007,,13.98
2008,,14.38
2009,,13.42
2010,,14.23
2011,,14.09
2012,,13.5
2013,,13.58
2016,start of forecast,13.72
2017,,13.72
2018,,13.72
2019,,13.72
2020,,13.72
2021,,13.72
2022,,13.72
2023,,13.72
2024,,13.72
2025,,13.72
2026,,13.72
2027,,13.72
2028,,13.72
2029,,13.72
2030,,13.72
2031,,13.72
2032,,13.72
2033,,13.72
2034,,13.72
2035,,13.72
2036,,13.72
2037,,13.72
2038,,13.72
2039,,13.72
2040,,13.72
