year,Base case cost,Modeled non-residential energy efficiency
2017,1021350.09115,940097.802791
2018,1078355.9815,990172.663188
2019,1156475.16459,1059532.45899
2020,1196590.42076,1094301.43772
2021,1221926.37203,1115643.66253
2022,1243039.66476,1133178.63685
2023,1255707.64039,1143057.20663
2024,1268375.61603,1152974.8236
2025,1281043.59167,1162930.57259
2026,1297934.22585,1176771.75432
2027,1312713.53075,1188725.20437
2028,1325381.50639,1198790.07042
2029,1340160.8113,1210813.71454
2030,1350717.45766,1219023.03229
2031,1367608.09184,1233037.71593
