year,Base case cost,Modeled water and wastewater efficiency
2017,2410.38272171,3972.95860406
2018,2536.26494643,4004.07957637
2019,2714.33118486,4071.94047842
2020,2764.99135217,4054.25461397
2021,2760.75669962,4000.33221303
2022,2742.01193434,3937.72273393
2023,2692.63373833,3855.36081756
2024,2632.52356049,3766.72484066
2025,2575.97119787,3681.6672488
2026,2526.96160136,3602.80908969
2027,2467.13140837,3517.60007103
2028,2403.228943,3430.67196875
2029,2326.19915645,3335.65247698
2030,2245.4801499,3239.17112841
2031,2176.94020065,3151.94772635
