year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,139121.0,99242.9379432
2018,139121.0,99242.9379432
2019,139121.0,99242.9379432
2020,139121.0,99242.9379432
2021,139121.0,99242.9379432
2022,139121.0,99242.9379432
2023,139121.0,99242.9379432
2024,139121.0,99242.9379432
2025,139121.0,99242.9379432
2026,139121.0,99242.9379432
2027,139121.0,99242.9379432
2028,139121.0,99242.9379432
2029,139121.0,99242.9379432
2030,139121.0,99242.9379432
2031,139121.0,99242.9379432
2032,,
2033,,
2034,,
2035,,
2036,,
