year,Base case cost,Modeled biomass for heat (cordwood)
2017,401024.687523,516679.77906
2018,438587.357523,542253.795269
2019,490062.127523,578166.205034
2020,516495.117523,595612.699073
2021,533189.637523,605907.600796
2022,547101.737523,614193.168286
2023,555448.997523,618410.911521
2024,563796.257523,622674.459831
2025,572143.517523,626982.739652
2026,583273.197523,633392.066913
2027,593011.667523,638815.371319
2028,601358.927523,643251.653036
2029,611097.397523,648757.299979
2030,618053.447523,652245.312177
2031,629183.127523,658858.169256
2032,,
2033,,
2034,,
2035,,
2036,,
