year,Base case cost,Modeled biomass for heat (pellet)
2017,401024.687523,467654.832515
2018,438587.357523,493272.760081
2019,490062.127523,528842.58298
2020,516495.117523,546575.631677
2021,533189.637523,557387.997601
2022,547101.737523,566241.210698
2023,555448.997523,571149.809734
2024,563796.257523,576082.923862
2025,572143.517523,581039.978508
2026,583273.197523,588005.271321
2027,593011.667523,594000.966219
2028,601358.927523,599026.528086
2029,611097.397523,605066.2931
2030,618053.447523,609142.462815
2031,629183.127523,616216.685751
2032,,
2033,,
2034,,
2035,,
2036,,
