year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,28998.96,1180.86,40562.81,12063.04
2018,28814.38,1191.01,40562.81,12063.04
2019,28629.81,1199.79,40562.81,12652.02
2020,28445.24,1208.43,40562.81,12652.02
2021,28352.95,1216.94,40562.81,12652.02
2022,28168.38,1224.02,40562.81,12652.02
2023,28076.09,1229.98,40562.81,12652.02
2024,27983.81,1235.78,40562.81,13241.01
2025,27799.23,1241.99,40562.81,13241.01
2026,27706.95,1249.9,40562.81,13241.01
2027,27522.38,1257.01,40562.81,13241.01
2028,27430.09,1263.97,40562.81,13830.0
2029,27337.8,1270.26,40562.81,13830.0
2030,27153.23,1275.97,40562.81,13830.0
2031,27060.94,1281.29,40562.81,13830.0
