year,Base case diesel consumed,Modeled diesel efficiency
2019,28629.8117716,26027.1016105
2020,28445.2390588,25859.3082353
2021,28352.9527024,25775.4115477
2022,28168.3799896,25607.6181724
2023,28076.0936332,25523.7214848
2024,27983.8072768,25439.8247971
2025,27799.2345641,25272.0314219
2026,27706.9482077,25188.1347342
2027,27522.3754949,25020.341359
2028,27430.0891385,24936.4446713
2029,27337.8027821,24852.5479837
2030,27153.2300693,24684.7546084
2031,27060.9437129,24600.8579208
2032,26968.6573565,24516.9612332
2033,26876.3710001,24433.0645456
2034,26784.0846437,24349.1678579
2035,26691.7982873,24265.2711703
2036,26691.7982873,24265.2711703
2037,26599.5119309,24181.3744827
2038,26507.2255745,24097.477795
