year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2010,,3.86,3.78
2011,,4.68,3.86
2014,,,6.96
2016,start of forecast,2.97,4.52
2017,,3.38,4.93
2018,,3.68,5.23
2019,,4.08,5.63
2020,,4.26,5.81
2021,,4.39,5.94
2022,,4.48,6.03
2023,,4.54,6.09
2024,,4.59,6.14
2025,,4.66,6.21
2026,,4.73,6.28
2027,,4.79,6.34
2028,,4.85,6.4
2029,,4.92,6.47
2030,,4.96,6.51
2031,,5.03,6.58
2032,,5.11,6.66
2033,,5.19,6.74
2034,,5.26,6.81
2035,,5.31,6.86
2036,,5.39,6.94
2037,,5.44,6.99
2038,,5.52,7.07
2039,,5.58,7.13
2040,,5.67,7.22
