year,Base case diesel consumed,Modeled non-residential ashp
2017,5597.66815572,-4697.15627533
2018,5597.66815572,-4697.15627533
2019,5597.66815572,-4697.15627533
2020,5597.66815572,-4697.15627533
2021,5597.66815572,-4697.15627533
2022,5597.66815572,-4697.15627533
2023,5597.66815572,-4697.15627533
2024,5597.66815572,-4697.15627533
2025,5597.66815572,-4697.15627533
2026,5597.66815572,-4697.15627533
2027,5597.66815572,-4697.15627533
2028,5597.66815572,-4697.15627533
2029,5597.66815572,-4697.15627533
2030,5597.66815572,-4697.15627533
2031,5597.66815572,-4697.15627533
