year,Base case diesel consumed,Modeled non-residential ashp
2017,6777.82494577,-7956.57711025
2018,6777.82494577,-7956.57711025
2019,6777.82494577,-7956.57711025
2020,6777.82494577,-7956.57711025
2021,6777.82494577,-7956.57711025
2022,6777.82494577,-7956.57711025
2023,6777.82494577,-7956.57711025
2024,6777.82494577,-7956.57711025
2025,6777.82494577,-7956.57711025
2026,6777.82494577,-7956.57711025
2027,6777.82494577,-7956.57711025
2028,6777.82494577,-7956.57711025
2029,6777.82494577,-7956.57711025
2030,6777.82494577,-7956.57711025
2031,6777.82494577,-7956.57711025
