year,Base case cost,"Perryvillle (unnamed stream, site #1) -- unnamed creek, 1","Perryville -- unnamed creek, 2"
2021,176745.817144,1407928.37726,1474635.80723
2022,187824.72138,1369324.50095,1450940.75925
2023,197795.193181,1335529.78365,1428814.26145
2024,206443.815309,1303244.35951,1406825.41962
2025,215001.802985,1269590.91649,1384587.7894
2026,223500.554087,1233560.33501,1361717.1426
2027,231595.823365,1200925.9555,1340257.8617
2028,239367.968541,1169705.92312,1319474.81698
2029,241529.231068,1131528.14759,1292864.54593
2030,243035.120666,1097466.92893,1267772.19491
2031,249362.528203,1062757.91755,1245655.69741
2032,259699.511245,1032708.72157,1228093.3844
2033,271602.438959,1004860.46945,1212628.86019
2034,283789.786289,976894.228965,1197567.57868
2035,291411.072604,951102.667483,1180850.78733
2036,299690.540356,920425.520135,1162884.15178
2037,303126.976252,890595.500983,1142560.98163
2038,309471.746126,859125.178373,1123615.73146
2039,316367.253249,831823.945985,1106884.19247
2040,326847.842534,804555.558671,1092585.99737
2041,329971.057754,785792.949968,1077378.7218
2042,331532.666483,765981.683257,1061039.4602
2043,331532.665654,745109.734891,1043558.14163
2044,330491.594114,723685.9019,1025445.47058
2045,329971.058436,703260.326111,1008253.45132
2046,329971.058269,683821.809367,991972.704759
2047,330491.594173,665359.419665,976594.07488
2048,331012.130041,647341.941758,961588.081254
2049,330491.594161,628717.876523,945904.918683
2050,329971.058326,610518.113318,930577.130652
