year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5508.68773515,3580.64702785
2018,5506.62744312,3579.30783803
2019,5504.95151581,3578.21848528
2020,5503.1792274,3577.06649781
2021,5501.34917631,3575.8769646
2022,5498.70909819,3574.16091382
2023,5495.45252498,3572.04414124
2024,5492.76791022,3570.29914164
2025,5490.63986851,3568.91591453
2026,5489.2630115,3568.02095747
2027,5487.66911258,3566.98492318
2028,5485.92667721,3565.85234019
2029,5487.27565159,3566.72917354
2030,5487.94896464,3567.16682701
2031,5487.87800292,3567.1207019
