year,Base case diesel consumed,Modeled transmission and interties
2021,83127.9977442,41563.9988721
2022,85336.3316501,42668.1658251
2023,87860.1418283,43930.0709142
2024,90068.4757342,45034.2378671
2025,91803.5952317,45901.7976159
2026,92907.7621847,46453.8810923
2027,94327.4054099,47163.702705
2028,95747.0486352,47873.5243176
2029,94642.8816822,47321.4408411
2030,94011.9291376,47005.9645688
2031,94169.6672738,47084.8336369
2032,95747.0486352,47873.5243176
2033,97797.6444049,48898.8222025
2034,99690.5020386,49845.2510193
2035,100952.407128,50476.2035638
2036,101425.621536,50712.810768
2037,101110.145264,50555.0726319
2038,100952.407128,50476.2035638
2039,101425.621536,50712.810768
2040,102372.050353,51186.0251765
