year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,52845.29,9467802.0,0.0,9467802.0
2004,,52845.29,9501236.0,0.0,9501236.0
2005,,52845.29,8149150.0,0.0,8149150.0
2006,,52845.29,8640322.0,0.0,8640322.0
2007,,52845.29,8171830.0,0.0,8171830.0
2008,,52845.29,7164277.0,0.0,7164277.0
2009,,52845.29,6181849.0,0.0,6181849.0
2010,,52845.29,5743000.0,36616.0,5706384.0
2011,,52845.29,5734000.0,36616.0,5697384.0
2012,,52845.29,5902679.0,0.0,5902679.0
2013,,52845.29,5615133.0,0.0,5615133.0
2014,,52845.29,5842295.0,0.0,5842295.0
2015,,52845.29,5437142.0,0.0,5437142.0
2016,start of forecast,52845.29,5744000.0,36616.0,5707384.0
2017,,52845.29,5747000.0,36616.0,5710384.0
2018,,52845.29,5749000.0,36616.0,5712384.0
2019,,52845.29,5751000.0,36616.0,5714384.0
2020,,52845.29,5753000.0,36616.0,5716384.0
2021,,52845.29,5755000.0,36616.0,5718384.0
2022,,52845.29,5756000.0,36616.0,5719384.0
2023,,52845.29,5755000.0,36616.0,5718384.0
2024,,52845.29,5755000.0,36616.0,5718384.0
2025,,52845.29,5755000.0,36616.0,5718384.0
2026,,52845.29,5757000.0,36616.0,5720384.0
2027,,52845.29,5758000.0,36616.0,5721384.0
2028,,52845.29,5761000.0,36616.0,5724384.0
2029,,52845.29,5762000.0,36616.0,5725384.0
2030,,52845.29,5763000.0,36616.0,5726384.0
2031,,52845.29,5764000.0,36616.0,5727384.0
2032,,52845.29,5765000.0,36616.0,5728384.0
2033,,52845.29,5765000.0,36616.0,5728384.0
2034,,52845.29,5766000.0,36616.0,5729384.0
2035,,52845.29,5766000.0,36616.0,5729384.0
2036,,52845.29,5766000.0,36616.0,5729384.0
2037,,52845.29,5765000.0,36616.0,5728384.0
2038,,52845.29,5764000.0,36616.0,5727384.0
2039,,52845.29,5764000.0,36616.0,5727384.0
2040,,52845.29,5763000.0,36616.0,5726384.0
