year,Base case diesel consumed,Modeled diesel efficiency
2019,427680.517882,388800.470802
2020,427830.203489,388936.548626
2021,427979.889095,389072.62645
2022,428054.731899,389140.665362
2023,427979.889095,389072.62645
2024,427979.889095,389072.62645
2025,427979.889095,389072.62645
2026,428129.574702,389208.704274
2027,428204.417505,389276.743187
2028,428428.945915,389480.859923
2029,428503.788719,389548.898835
2030,428578.631522,389616.937747
2031,428653.474325,389684.976659
2032,428728.317129,389753.015571
2033,428728.317129,389753.015571
2034,428803.159932,389821.054484
2035,428803.159932,389821.054484
2036,428803.159932,389821.054484
2037,428728.317129,389753.015571
2038,428653.474325,389684.976659
