year,Base case cost,Modeled solar power (pv)
2016,1097792.50892,1126860.25634
2017,1307786.30881,1333875.50364
2018,1462155.44638,1485902.87558
2019,1676507.6301,1697336.40358
2020,1775495.34448,1794648.58566
2021,1848873.12089,1866646.98439
2022,1900563.00963,1917203.38524
2023,1934469.09871,1950173.11151
2024,1964427.69095,1979259.86641
2025,1998666.08207,2012604.82927
2026,2042178.07133,2055160.39066
2027,2081073.46908,2093162.83838
2028,2112154.70336,2123454.44993
2029,2151089.01937,2161536.15517
2030,2177179.44813,2186915.76949
2031,2220424.997,2229306.70918
2032,2263685.51444,2271732.30006
2033,2310845.62932,2318037.08402
2034,2358417.37963,2364773.01217
2035,2388433.60082,2394128.70473
