year,Base case diesel consumed,Modeled wind power
2019,427680.517882,368241.015299
2020,427830.203489,368390.700906
2021,427979.889095,368540.386513
2022,428054.731899,368615.229316
2023,427979.889095,368540.386513
2024,427979.889095,368540.386513
2025,427979.889095,368540.386513
2026,428129.574702,368690.072119
2027,428204.417505,368764.914923
2028,428428.945915,368989.443333
2029,428503.788719,369064.286136
2030,428578.631522,369139.128939
2031,428653.474325,369213.971743
2032,428728.317129,369288.814546
2033,428728.317129,369288.814546
2034,428803.159932,369363.657349
2035,428803.159932,369363.657349
2036,428803.159932,369363.657349
2037,428728.317129,369288.814546
2038,428653.474325,369213.971743
