year,Base case cost,Galena (kalakaket creek)
2021,1848873.12089,2993412.84055
2022,1900563.00963,3012391.14739
2023,1934469.09871,3016144.22153
2024,1964427.69095,3017048.01532
2025,1998666.08207,3022351.67339
2026,2042178.07133,3036553.0348
2027,2081073.46908,3047193.69098
2028,2112154.70336,3051544.46859
2029,2151089.01937,3063332.06387
2030,2177179.44813,3064255.94002
2031,2220424.997,3080929.60668
2032,2263685.51444,3098128.08623
2033,2310845.62932,3119242.20533
2034,2358417.37963,3141254.1854
2035,2388433.60082,3148112.876
2036,2435601.94841,3170659.98356
2037,2465187.82349,3178004.86149
2038,2511909.35955,3201000.20951
2039,2546201.63749,3213443.71213
2040,2597186.50702,3241074.12938
2041,2596732.95963,3223460.20945
2042,2595825.86486,3205794.93834
2043,2594918.77008,3188522.43706
2044,2594011.67531,3171633.49994
2045,2592651.03314,3154665.58992
2046,2591290.39098,3138063.47522
2047,2589929.74881,3121818.58256
2048,2588115.55926,3105468.99214
2049,2586754.91709,3089913.62244
2050,2584940.72754,3074237.39437
2051,2584940.72754,3060700.24739
2052,2584940.72754,3047480.37729
2053,2584940.72754,3034570.34795
2054,2584940.72754,3021962.89731
2055,2584940.72754,3009650.93383
2056,2584940.72754,2997627.53201
2057,2584940.72754,2985885.92869
2058,2584940.72754,2974419.51915
2059,2584940.72754,2963221.85367
2060,2584940.72754,2952286.6334
2061,2584940.72754,2941607.70737
2062,2584940.72754,2931179.06867
2063,2584940.72754,2920994.85115
2064,2584940.72754,2911049.32633
2065,2584940.72754,2901336.89967
2066,2584940.72754,2891852.10798
2067,2584940.72754,2882589.61617
2068,2584940.72754,2873544.21394
2069,2584940.72754,2864710.81335
2070,2584940.72754,2856084.44561
